1592384265.000000, 1592384265.000000, 1592384265.000000
32.000000, 32.000000, 32.000000
17,-63,1
18,-63,2
18,-63,1
17,-62,1
17,-62,1
16,-63,1
17,-63,0
17,-63,1
17,-63,2
17,-63,1
17,-63,1
16,-62,1
16,-63,0
17,-62,1
17,-62,1
17,-62,1
17,-63,1
16,-62,1
16,-62,1
16,-63,1
16,-63,1
17,-62,1
16,-63,1
16,-63,1
16,-62,1
17,-63,1
17,-63,1
17,-63,1
17,-62,1
16,-62,1
17,-63,0
17,-62,1
17,-63,1
17,-63,1
16,-62,1
16,-63,1
16,-63,0
16,-63,1
17,-63,1
17,-62,1
17,-62,1
16,-62,1
16,-62,1
16,-63,0
16,-63,1
17,-63,1
17,-63,1
17,-62,1
17,-62,1
16,-63,1
17,-63,1
17,-63,1
17,-63,1
17,-62,1
16,-62,1
16,-62,1
16,-63,0
17,-63,0
16,-63,1
16,-63,1
16,-63,1
16,-63,0
16,-62,1
16,-62,1
17,-63,1
17,-63,1
16,-63,1
16,-63,1
16,-63,0
17,-63,1
17,-62,1
17,-63,1
17,-63,0
16,-62,1
16,-63,1
16,-63,1
16,-62,1
16,-63,0
17,-63,0
17,-63,0
17,-62,1
16,-62,0
16,-62,1
17,-63,0
17,-63,1
16,-63,1
16,-63,1
16,-62,0
16,-63,0
16,-63,0
16,-63,1
17,-62,1
17,-63,0
16,-63,0
16,-63,0
16,-63,0
16,-63,1
16,-63,1
16,-63,0
16,-62,1
16,-63,0
16,-63,0
16,-63,0
16,-63,1
16,-63,0
16,-63,0
16,-63,0
16,-62,1
16,-63,1
16,-63,0
16,-63,0
16,-63,0
16,-62,1
16,-63,1
16,-63,1
16,-63,0
15,-63,1
16,-63,0
16,-63,1
17,-62,1
16,-63,0
16,-62,1
16,-63,1
16,-63,0
16,-63,1
16,-63,1
17,-62,1
17,-63,1
16,-62,1
16,-62,1
16,-62,1
16,-63,1
16,-62,1
17,-62,1
16,-62,1
16,-62,1
17,-63,0
17,-63,1
17,-62,1
17,-63,1
16,-63,1
16,-63,1
16,-63,1
16,-63,1
17,-63,1
17,-62,1
17,-62,1
17,-62,0
17,-62,1
17,-63,1
17,-63,1
17,-62,1
17,-62,1
17,-63,1
17,-62,1
17,-62,1
17,-63,1
16,-62,1
16,-62,1
16,-62,1
16,-62,1
17,-62,0
17,-62,1
17,-62,1
17,-63,1
17,-63,1
16,-63,1
16,-62,1
17,-62,1
17,-63,1
17,-63,1
17,-63,1
17,-63,1
17,-62,0
17,-63,1
17,-63,0
17,-63,1
17,-63,1
16,-63,0
17,-63,0
17,-63,0
17,-63,0
17,-63,0
17,-62,1
16,-62,1
17,-62,0
17,-63,0
17,-62,0
17,-63,0
17,-62,1
17,-62,0
17,-62,0
17,-62,0
18,-62,0
17,-62,0
17,-63,0
17,-62,1
17,-63,0
17,-62,0
17,-63,0
17,-63,0
17,-63,0
17,-63,1
17,-63,0
17,-63,0
17,-63,0
17,-63,1
17,-63,0
17,-63,1
17,-63,0
16,-62,0
16,-63,1
16,-63,0
16,-62,1
16,-63,0
15,-63,1
15,-62,1
15,-63,1
15,-63,1
15,-62,1
15,-62,0
15,-63,0
16,-63,1
15,-63,1
16,-63,1
16,-63,1
15,-63,1
15,-63,0
15,-63,0
14,-62,1
13,-62,0
14,-63,0
14,-63,0
13,-63,0
14,-63,0
14,-63,1
15,-63,1
15,-63,0
14,-63,0
14,-63,-1
14,-63,0
14,-64,0
14,-63,0
14,-63,0
13,-63,0
13,-63,-1
13,-63,0
13,-63,0
13,-64,0
13,-64,0
13,-64,0
14,-63,0
14,-63,0
14,-63,0
14,-63,0
14,-63,0
14,-63,0
14,-64,0
14,-63,0
15,-63,0
15,-63,0
15,-63,0
15,-63,0
15,-63,0
15,-63,0
14,-63,0
15,-63,0
15,-63,0
15,-63,0
15,-63,0
15,-63,0
15,-63,0
15,-63,0
15,-63,0
15,-63,0
14,-63,0
15,-63,0
15,-63,0
15,-63,1
15,-63,1
15,-63,0
14,-63,0
15,-63,0
15,-63,0
15,-63,0
14,-63,0
14,-63,0
14,-63,-1
14,-63,-1
13,-63,-1
13,-63,-1
14,-63,-1
15,-63,0
15,-63,0
16,-63,0
16,-63,0
16,-62,0
15,-63,0
16,-63,0
16,-63,0
16,-63,0
16,-62,0
16,-63,0
16,-63,0
16,-63,0
16,-63,0
16,-63,0
15,-63,0
15,-63,-1
14,-63,-1
14,-63,-1
14,-63,-1
15,-63,0
15,-63,0
16,-63,0
16,-63,0
16,-63,-1
16,-63,0
16,-63,0
15,-62,0
16,-62,0
16,-63,0
17,-63,0
16,-63,0
16,-62,0
16,-63,0
16,-62,0
16,-63,0
16,-63,0
16,-63,0
16,-63,0
16,-63,0
16,-63,0
16,-62,0
16,-63,0
17,-63,0
17,-63,0
17,-62,0
17,-63,0
16,-63,0
16,-63,0
