,EDA,rise_time,max_deriv,amp,decay_time,SCR_width,AUC
2020-06-17 08:57:48.625,3.906188,4.0,0.2719054353312771,1.7336870000000002,,,
2020-06-17 08:57:52.625,4.0019835,2.125,0.14073788099454276,0.16241249999999985,,,
2020-06-17 08:57:55.875,4.4658125,2.125,0.41887428431127205,0.4164285000000003,,,
2020-06-17 08:57:59.000,4.8815290000000005,1.75,0.5817524793164566,0.41892000000000085,0.875,2.25,0.9425700000000019
2020-06-17 08:58:08.750,4.215927,1.625,0.32685155210935335,0.2158654999999996,0.75,2.125,0.45871418749999915
2020-06-17 08:58:14.750,4.95294,2.5,0.8552676032904856,1.0214169999999996,,,
2020-06-17 08:58:18.625,5.2072385,1.375,0.4710982771096113,0.2504554999999993,1.0,2.125,0.5322179374999985
2020-06-17 08:58:23.375,5.0522255000000005,1.625,0.338626072422727,0.20305450000000036,0.5,1.875,0.3807271875000007
2020-06-17 08:58:26.625,5.064396,1.625,0.3661285651120423,0.17807300000000037,0.5,1.875,0.3338868750000007
2020-06-17 08:58:32.375,5.1188424999999995,1.625,0.6604684790677524,0.26839049999999975,1.0,2.375,0.6374274374999994
2020-06-17 08:58:44.375,4.6304335000000005,2.25,0.4764648639658091,0.5175640000000001,2.25,3.875,2.0055605000000005
2020-06-17 08:58:50.000,4.408803,2.0,0.1432104487781345,0.09223900000000018,,,
2020-06-17 08:58:52.875,5.7851415,2.25,0.9141590977565173,1.1386944999999997,1.125,2.875,3.273746687499999
2020-06-17 08:59:02.250,4.657337,2.5,0.24052268293117152,0.21778800000000054,1.75,3.25,0.7078110000000017
2020-06-17 08:59:15.750,4.434425,1.5,0.11061882377637744,0.07302199999999992,,,
2020-06-17 08:59:25.000,4.571503,1.875,0.31515093314997245,0.24789249999999985,,,
2020-06-17 08:59:28.750,5.215566,3.0,0.31154509006929487,0.5518239999999999,0.875,3.125,1.7244499999999996
2020-06-17 08:59:40.625,4.806254,3.375,0.16444056557629239,0.2607039999999996,1.125,2.875,0.7495239999999989
2020-06-17 08:59:45.625,4.769743,2.75,0.1077875077371857,0.12426699999999968,0.75,2.375,0.29513412499999925
2020-06-17 08:59:56.625,4.9555025,3.0,0.33746857300313593,0.4877684999999996,0.625,2.5,1.219421249999999
2020-06-17 09:00:00.125,4.6349175,1.125,0.314481964523317,0.08006850000000032,0.5,1.5,0.12010275000000048
2020-06-17 09:00:06.625,4.5535675,2.625,0.03384910245429751,0.07302250000000043,0.75,3.0,0.2190675000000013
2020-06-17 09:00:10.875,4.529227,1.5,0.15400331550399926,0.08070950000000021,0.625,1.875,0.1513303125000004
2020-06-17 09:00:15.500,4.607374,2.0,0.2343367412995505,0.18191700000000033,1.75,3.375,0.6139698750000011
2020-06-17 09:00:29.875,5.553262500000001,3.875,0.7939744565726485,1.0535005000000002,1.25,3.125,3.2921890625000003
2020-06-17 09:00:43.125,5.229017499999999,4.0,0.1491083292740143,0.7158044999999991,,,
2020-06-17 09:00:47.500,5.187380999999999,1.875,0.2869833260228134,0.21970849999999942,0.75,2.25,0.4943441249999987
2020-06-17 09:00:56.375,5.3334265,2.625,0.38646431477833687,0.4419794999999995,1.25,2.875,1.2706910624999987
2020-06-17 09:01:14.500,4.581421,2.0,0.09661140272484658,0.09351999999999983,,,
2020-06-17 09:01:16.625,4.6736605,1.5,0.15738310638526798,0.0941610000000006,,,
2020-06-17 09:01:20.625,5.781938500000001,3.25,0.6432763032748596,1.0800940000000008,,,
2020-06-17 09:01:24.625,5.753754499999999,1.625,0.47710967008389105,0.28376349999999917,0.875,2.25,0.6384678749999981
