EpochNum,StartTime,EndTime,BinaryLabels,MulticlassLabels
87,2020-06-12 06:45:27,2020-06-12 06:45:32,1.0,1.0
88,2020-06-12 06:45:32,2020-06-12 06:45:37,1.0,1.0
89,2020-06-12 06:45:37,2020-06-12 06:45:42,1.0,1.0
90,2020-06-12 06:45:42,2020-06-12 06:45:47,1.0,1.0
91,2020-06-12 06:45:47,2020-06-12 06:45:52,1.0,1.0
92,2020-06-12 06:45:52,2020-06-12 06:45:57,1.0,1.0
93,2020-06-12 06:45:57,2020-06-12 06:46:02,1.0,1.0
94,2020-06-12 06:46:02,2020-06-12 06:46:07,1.0,1.0
95,2020-06-12 06:46:07,2020-06-12 06:46:12,1.0,1.0
96,2020-06-12 06:46:12,2020-06-12 06:46:17,1.0,1.0
97,2020-06-12 06:46:17,2020-06-12 06:46:22,1.0,1.0
98,2020-06-12 06:46:22,2020-06-12 06:46:27,1.0,1.0
99,2020-06-12 06:46:27,2020-06-12 06:46:32,1.0,1.0
100,2020-06-12 06:46:32,2020-06-12 06:46:37,1.0,1.0
101,2020-06-12 06:46:37,2020-06-12 06:46:42,1.0,1.0
102,2020-06-12 06:46:42,2020-06-12 06:46:47,1.0,1.0
103,2020-06-12 06:46:47,2020-06-12 06:46:52,1.0,1.0
104,2020-06-12 06:46:52,2020-06-12 06:46:57,1.0,1.0
105,2020-06-12 06:46:57,2020-06-12 06:47:02,1.0,1.0
106,2020-06-12 06:47:02,2020-06-12 06:47:07,1.0,1.0
107,2020-06-12 06:47:07,2020-06-12 06:47:12,1.0,1.0
108,2020-06-12 06:47:12,2020-06-12 06:47:17,1.0,1.0
109,2020-06-12 06:47:17,2020-06-12 06:47:22,1.0,1.0
110,2020-06-12 06:47:22,2020-06-12 06:47:27,1.0,1.0
111,2020-06-12 06:47:27,2020-06-12 06:47:32,1.0,1.0
112,2020-06-12 06:47:32,2020-06-12 06:47:37,1.0,1.0
113,2020-06-12 06:47:37,2020-06-12 06:47:42,1.0,1.0
114,2020-06-12 06:47:42,2020-06-12 06:47:47,1.0,1.0
115,2020-06-12 06:47:47,2020-06-12 06:47:52,1.0,1.0
116,2020-06-12 06:47:52,2020-06-12 06:47:57,1.0,1.0
117,2020-06-12 06:47:57,2020-06-12 06:48:02,1.0,1.0
118,2020-06-12 06:48:02,2020-06-12 06:48:07,1.0,1.0
119,2020-06-12 06:48:07,2020-06-12 06:48:12,1.0,1.0
120,2020-06-12 06:48:12,2020-06-12 06:48:17,1.0,1.0
121,2020-06-12 06:48:17,2020-06-12 06:48:22,1.0,1.0
122,2020-06-12 06:48:22,2020-06-12 06:48:27,1.0,1.0
123,2020-06-12 06:48:27,2020-06-12 06:48:32,1.0,1.0
124,2020-06-12 06:48:32,2020-06-12 06:48:37,1.0,1.0
125,2020-06-12 06:48:37,2020-06-12 06:48:42,1.0,1.0
126,2020-06-12 06:48:42,2020-06-12 06:48:47,1.0,1.0
127,2020-06-12 06:48:47,2020-06-12 06:48:52,1.0,1.0
128,2020-06-12 06:48:52,2020-06-12 06:48:57,1.0,1.0
129,2020-06-12 06:48:57,2020-06-12 06:49:02,1.0,1.0
